Timestamp, Serial Number, Channel, Data, Unit of Measure
2023-May-11 03:22, 210993897, 2, 50.3, °C
2023-May-11 03:27, 210993897, 1, 50.15, °C
2023-May-11 03:27, 210993897, 2, 50.3, °C
2023-May-11 03:32, 210993897, 1, 50.15, °C
2023-May-11 03:32, 210993897, 2, 50.3, °C
2023-May-11 03:37, 210993897, 1, 50.15, °C
2023-May-11 03:37, 210993897, 2, 50.3, °C
2023-May-11 03:43, 210993897, 1, 50.15, °C
2023-May-11 03:43, 210993897, 2, 50.3, °C
2023-May-11 03:48, 210993897, 1, 50.15, °C
2023-May-11 03:48, 210993897, 2, 50.3, °C
2023-May-11 03:53, 210993897, 1, 50.15, °C
2023-May-11 03:53, 210993897, 2, 50.3, °C
2023-May-11 03:58, 210993897, 1, 50.16, °C
2023-May-11 03:58, 210993897, 2, 50.31, °C
2023-May-11 04:03, 210993897, 1, 50.17, °C
2023-May-11 04:03, 210993897, 2, 50.32, °C
2023-May-11 04:08, 210993897, 1, 50.18, °C
2023-May-11 04:08, 210993897, 2, 50.34, °C
2023-May-11 04:13, 210993897, 1, 50.19, °C
2023-May-11 04:13, 210993897, 2, 50.34, °C
2023-May-11 04:18, 210993897, 1, 50.19, °C
2023-May-11 04:18, 210993897, 2, 50.34, °C
2023-May-11 04:23, 210993897, 1, 50.19, °C
2023-May-11 04:23, 210993897, 2, 50.34, °C
2023-May-11 04:28, 210993897, 1, 50.2, °C
2023-May-11 04:28, 210993897, 2, 50.35, °C
2023-May-11 04:33, 210993897, 1, 50.19, °C
2023-May-11 04:33, 210993897, 2, 50.35, °C
2023-May-11 04:38, 210993897, 1, 50.19, °C
2023-May-11 04:38, 210993897, 2, 50.34, °C
2023-May-11 04:43, 210993897, 1, 50.2, °C
2023-May-11 04:43, 210993897, 2, 50.35, °C
2023-May-11 04:48, 210993897, 1, 50.2, °C
2023-May-11 04:48, 210993897, 2, 50.35, °C
2023-May-11 04:53, 210993897, 1, 50.2, °C
2023-May-11 04:53, 210993897, 2, 50.35, °C
2023-May-11 04:58, 210993897, 1, 50.21, °C
2023-May-11 04:58, 210993897, 2, 50.36, °C
2023-May-11 05:03, 210993897, 1, 50.21, °C
2023-May-11 05:03, 210993897, 2, 50.36, °C
2023-May-11 05:09, 210993897, 1, 50.2, °C
2023-May-11 05:09, 210993897, 2, 50.35, °C
2023-May-11 05:14, 210993897, 1, 50.21, °C
2023-May-11 05:14, 210993897, 2, 50.36, °C
2023-May-11 05:19, 210993897, 1, 50.21, °C
2023-May-11 05:19, 210993897, 2, 50.36, °C
2023-May-11 05:24, 210993897, 1, 50.21, °C
2023-May-11 05:24, 210993897, 2, 50.36, °C
2023-May-11 05:29, 210993897, 1, 50.21, °C
2023-May-11 05:29, 210993897, 2, 50.36, °C
2023-May-11 05:34, 210993897, 1, 50.23, °C
2023-May-11 05:34, 210993897, 2, 50.38, °C
2023-May-11 05:39, 210993897, 1, 50.22, °C
2023-May-11 05:39, 210993897, 2, 50.37, °C
2023-May-11 05:44, 210993897, 1, 50.22, °C
2023-May-11 05:44, 210993897, 2, 50.37, °C
2023-May-11 05:49, 210993897, 1, 50.22, °C
2023-May-11 05:49, 210993897, 2, 50.37, °C
2023-May-11 05:54, 210993897, 1, 50.22, °C
2023-May-11 05:54, 210993897, 2, 50.37, °C
2023-May-11 05:59, 210993897, 1, 50.23, °C
2023-May-11 05:59, 210993897, 2, 50.38, °C
2023-May-11 06:04, 210993897, 1, 50.23, °C
2023-May-11 06:04, 210993897, 2, 50.38, °C
2023-May-11 06:09, 210993897, 1, 50.24, °C
2023-May-11 06:09, 210993897, 2, 50.39, °C
2023-May-11 06:14, 210993897, 1, 50.25, °C
2023-May-11 06:14, 210993897, 2, 50.4, °C
2023-May-11 06:19, 210993897, 1, 50.25, °C
2023-May-11 06:19, 210993897, 2, 50.4, °C
2023-May-11 06:24, 210993897, 1, 50.25, °C
2023-May-11 06:24, 210993897, 2, 50.4, °C
2023-May-11 06:29, 210993897, 1, 50.24, °C
2023-May-11 06:29, 210993897, 2, 50.4, °C
2023-May-11 06:34, 210993897, 1, 50.24, °C
2023-May-11 06:34, 210993897, 2, 50.39, °C
2023-May-11 06:39, 210993897, 1, 50.24, °C
2023-May-11 06:39, 210993897, 2, 50.39, °C
2023-May-11 06:45, 210993897, 1, 50.25, °C
2023-May-11 06:45, 210993897, 2, 50.4, °C
2023-May-11 06:50, 210993897, 1, 50.25, °C
2023-May-11 06:50, 210993897, 2, 50.4, °C
2023-May-11 06:55, 210993897, 1, 50.25, °C
2023-May-11 06:55, 210993897, 2, 50.41, °C
2023-May-11 07:00, 210993897, 1, 50.25, °C
2023-May-11 07:00, 210993897, 2, 50.4, °C
2023-May-11 07:05, 210993897, 1, 50.24, °C
2023-May-11 07:05, 210993897, 2, 50.39, °C
2023-May-11 07:10, 210993897, 1, 50.24, °C
2023-May-11 07:10, 210993897, 2, 50.39, °C
