Time,B,C,Ab L,Ab R,AUR,ALR,ALL,AUL
1970-02-01 13:00:55,,,-5.02,,,,,
1970-02-01 13:00:56,,,,,,,,
1970-02-01 13:00:57,,,,,,,,
1970-02-01 13:00:59,,,,,,,,
1970-02-01 13:01:00,,,,,,,,
1970-02-01 13:01:01,,,,,,,,
1970-02-01 13:01:03,,,,,,,,
1970-02-01 13:01:04,,,,,,,,
1970-02-01 13:01:05,,,-5.04,,,,,
1970-02-01 13:01:07,,,,,,,,
1970-02-01 13:01:11,,,,,,,,
1970-02-01 13:01:12,,,,,,,,
1970-02-01 13:01:13,,,,,,,,
1970-02-01 13:01:14,,,,,,,,
1970-02-01 13:01:17,,,,,,,,
1970-02-01 13:01:18,,,,,,,,
1970-02-01 13:01:19,,,,,,,,
1970-02-01 13:01:20,,,,,,,,
1970-02-01 13:01:23,,,,,,,,
1970-02-01 13:01:24,,,,,,,,
1970-02-01 13:01:25,,,,,,,,
1970-02-01 13:01:26,,,,,,,,
1970-02-01 13:01:29,,,,,,,,
1970-02-01 13:01:32,,,,,,,,
1970-02-01 13:01:33,,,,,,,,
1970-02-01 13:01:34,,,,,,,,
1970-02-01 13:01:37,,,,,,,,
1970-02-01 13:01:38,,,,,,,,
1970-02-01 13:01:40,,,,,,,,
1970-02-01 13:01:41,,,,,,,,
1970-02-01 13:01:42,,,,,,,,
1970-02-01 13:01:45,,,,,,,,
1970-02-01 13:01:48,,,,,,,,
1970-02-01 13:01:52,,,,,,,,
1970-02-01 13:01:54,,,,,,,,
1970-02-01 13:01:58,,,,,,,,
1970-02-01 13:01:59,,,,,,,,
1970-02-01 13:02:02,,,,,,,,
1970-02-01 13:02:04,,,,,,,,
1970-02-01 13:02:05,,,,,,,,
1970-02-01 13:02:10,,,,,,,,
1970-02-01 13:02:11,,,,,,,,
1970-02-01 13:02:12,,,,,,,,
1970-02-01 13:02:14,,,,,,,,
1970-02-01 13:02:15,,,,,,,,
1970-02-01 13:02:16,,,,,,,,
1970-02-01 13:02:19,,,-6.06,,,,,
1970-02-01 13:02:20,,,,,,,,
1970-02-01 13:02:21,,,,,,,,
1970-02-01 13:02:22,,,,,,,,
1970-02-01 13:02:23,,,,,,,,
1970-02-01 13:02:25,,,,,,,,
1970-02-01 13:02:26,,,-5.67,,,,,
1970-02-01 13:02:27,,,,,,,,
1970-02-01 13:02:28,,,,,,,,
1970-02-01 13:02:29,,,,,,,,
1970-02-01 13:02:31,,,,,,,,
1970-02-01 13:02:36,,,,,,,,
1970-02-01 13:02:37,,,,,,,,
1970-02-01 13:02:39,,,,,,,,
1970-02-01 13:02:40,,,,,,,,
1970-02-01 13:02:41,,,,,,,,
1970-02-01 13:02:43,,,,,,,,
1970-02-01 13:02:44,,,,,,,,
1970-02-01 13:02:45,,,,,,,,
1970-02-01 13:02:48,,,,,,,,
1970-02-01 13:02:52,,,,,,,,
1970-02-01 13:02:55,,,,,,,,
1970-02-01 13:02:56,,,-5.41,,,,,
1970-02-01 13:02:58,,,-5.28,,,,,
1970-02-01 13:02:59,,,,,,,,
1970-02-01 13:03:01,,,,,,,,
1970-02-01 13:03:03,,,,,,,,
1970-02-01 13:03:04,,,,,,,,
1970-02-01 13:03:05,,,,,,,,
1970-02-01 13:03:06,,,,,,,,
1970-02-01 13:03:08,,,,,,,,
1970-02-01 13:03:09,,,-5.27,,,,,
1970-02-01 13:03:10,,,,,,,,
1970-02-01 13:03:12,,,,,,,,
1970-02-01 13:03:13,,,,,,,,
1970-02-01 13:03:14,,,,,,,,
1970-02-01 13:03:17,,,,,,,,
1970-02-01 13:03:18,,,-4.74,,,,,
1970-02-01 13:03:21,,,,,,,,
1970-02-01 13:03:23,,,-5.27,,,,,
1970-02-01 13:03:26,,,,,,,,
1970-02-01 13:03:27,,,,,,,,
1970-02-01 13:03:28,,,,,,,,
1970-02-01 13:03:29,,,,,,,,
1970-02-01 13:03:30,,,,,,,,
1970-02-01 13:03:31,,,,,,,,
1970-02-01 13:03:32,,,,,,,,
1970-02-01 13:03:33,,,,,,,,
1970-02-01 13:03:34,,,,,,,,
1970-02-01 13:03:35,,,,,,,,
1970-02-01 13:03:36,,,,,,,,
